# 4 4
1 6 8 13 , 15 12 14 5 , 10 9 3 2 , 4 16 7 11
14 4 10 11 , 12 5 9 1 , 7 8 6 3 , 13 2 15 16
10 12 3 15 , 9 14 16 8 , 13 7 6 11 , 5 1 4 2
1 15 6 4 , 5 2 14 9 , 10 11 3 8 , 13 7 12 16
12 15 2 1 , 5 3 10 6 , 16 13 8 4 , 9 11 14 7
4 2 11 6 , 14 13 8 15 , 3 9 5 1 , 12 16 10 7
14 8 4 15 , 5 3 16 12 , 10 11 9 1 , 6 2 13 7
16 11 3 9 , 15 10 14 7 , 1 5 2 13 , 8 6 12 4
10 3 13 15 , 7 1 5 11 , 14 6 4 8 , 2 12 9 16
5 6 3 13 , 12 4 16 15 , 9 8 11 2 , 7 10 14 1
5 11 14 8 , 4 6 1 2 , 9 15 16 12 , 3 13 10 7
10 16 12 3 , 15 14 6 9 , 4 2 8 7 , 1 13 5 11
4 12 6 16 , 13 7 1 14 , 5 2 11 15 , 9 10 3 8
8 2 14 11 , 10 12 9 13 , 15 7 3 1 , 5 4 6 16
11 15 16 1 , 10 12 2 8 , 4 3 7 5 , 14 13 6 9
5 11 16 1 , 13 8 4 3 , 15 2 10 7 , 14 12 6 9
10 5 13 4 , 6 15 14 9 , 3 12 16 1 , 11 8 7 2
4 10 1 7 , 13 12 14 8 , 6 16 5 11 , 15 2 9 3
5 11 10 15 , 6 8 3 1 , 2 14 16 13 , 12 9 7 4
6 13 1 9 , 2 16 14 3 , 12 8 11 7 , 4 10 5 15
